"source","stocklong","reference","year","n","n_units","catch","notes"
"Hilborn et al. (2017)","Northern fur seal Eastern Pacific [pups]","NOAA 2013",1998,219226,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal Eastern Pacific [pups]","NOAA 2013",2000,196899,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal Eastern Pacific [pups]","NOAA 2013",2002,176667,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal Eastern Pacific [pups]","NOAA 2013",2004,153059,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal Eastern Pacific [pups]","NOAA 2013",2005,160594,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal Eastern Pacific [pups]","NOAA 2013",2006,147900,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal Eastern Pacific [pups]","NOAA 2013",2007,152867,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal Eastern Pacific [pups]","NOAA 2013",2008,145149,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal Eastern Pacific [pups]","NOAA 2013",2010,136790,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal Eastern Pacific [pups]","NOAA 2013",2011,142121,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1972,223,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1973,358,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1974,598,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1975,797,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1976,1060,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1977,1140,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1978,1292,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1979,1642,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1980,1659,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1981,1977,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1982,1834,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1983,791,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1984,990,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1985,831,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1986,1381,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1987,1222,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1988,1222,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1989,1397,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1990,1756,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1991,1653,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1992,1868,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1993,2195,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1994,2506,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1995,2562,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1997,3224,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1998,698,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",1999,1144,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",2000,1687,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",2001,2077,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",2002,1990,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",2004,2261,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",2005,2460,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",2006,2413,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",2007,2501,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",2008,2820,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",2009,2891,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",2010,3585,"pups",NA,NA
"Hilborn et al. (2017)","Northern fur seal San Miguel Islands [pups]","NOAA 2013",2011,3107,"pups",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1952,118930,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1953,124480,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1954,134100,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1955,144820,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1956,162920,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1957,176600,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1958,186580,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1959,188440,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1960,186980,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1961,178500,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1962,163370,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1963,148240,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1964,133850,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1965,126850,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1966,114300,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1967,94374.9921,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1968,81462.9659,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1969,69289.0059,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1970,61916.123,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1971,57496.9636,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1972,57878.3951,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1973,59367.6552,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1974,64549.6775,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1975,69362.4236,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1976,76760.5894,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1977,79727.4405,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1978,85278.7391,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1979,81967.4083,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1980,77917.5252,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1981,75345.7194,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1982,59478.511,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1983,42872.7502,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1984,43993.7065,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1985,46591.2814,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1986,45864.8843,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1987,42552.5811,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1988,45520.4048,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1989,51071.2171,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1990,62161.6589,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1991,80637.625,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1992,87297.2384,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1993,97280.8239,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1994,108000,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1995,120000,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1996,116000,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1997,113000,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1998,109000,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",1999,103000,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",2000,92565.806,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",2001,80391.846,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",2002,79296.6589,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",2003,77093.1568,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",2004,74889.6547,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",2005,70470.4953,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",2006,59773.6402,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",2007,54986.1771,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",2008,54629.0561,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",2009,50579.6591,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",2010,48745.4333,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",2011,47649.7599,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Pacific bluefin tuna Pacific Ocean [biomass (total)]","PBT Stock Assessment 2014",2012,45076.4954,"biomass (total)",NA,NA
"Hilborn et al. (2017)","Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","esasuccess.org",1970,2796,"nesting pairs",NA,NA
"Hilborn et al. (2017)","Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","esasuccess.org",1971,3512,"nesting pairs",NA,NA
"Hilborn et al. (2017)","Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","esasuccess.org",1972,3748,"nesting pairs",NA,NA
"Hilborn et al. (2017)","Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","esasuccess.org",1973,3397,"nesting pairs",NA,NA
"Hilborn et al. (2017)","Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","esasuccess.org",1974,3398,"nesting pairs",NA,NA
"Hilborn et al. (2017)","Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","esasuccess.org",1975,4338,"nesting pairs",NA,NA
"Hilborn et al. (2017)","Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","esasuccess.org",1976,4222,"nesting pairs",NA,NA
"Hilborn et al. (2017)","Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","esasuccess.org",1977,5661,"nesting pairs",NA,NA
"Hilborn et al. (2017)","Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","esasuccess.org",1979,7542,"nesting pairs",NA,NA
"Hilborn et al. (2017)","Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","esasuccess.org",1978,8010,"nesting pairs",NA,NA
"Hilborn et al. (2017)","Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","esasuccess.org",1980,9039,"nesting pairs",NA,NA
"Hilborn et al. (2017)","Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","esasuccess.org",1981,8835,"nesting pairs",NA,NA
"Hilborn et al. (2017)","Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","esasuccess.org",1983,8544,"nesting pairs",NA,NA
"Hilborn et al. (2017)","Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","esasuccess.org",1985,10365,"nesting pairs",NA,NA
"Hilborn et al. (2017)","Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","esasuccess.org",1989,13906,"nesting pairs",NA,NA
"Hilborn et al. (2017)","Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","esasuccess.org",1991,13937,"nesting pairs",NA,NA
"Hilborn et al. (2017)","Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","esasuccess.org",1993,12281,"nesting pairs",NA,NA
"Hilborn et al. (2017)","Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","esasuccess.org",1995,11725,"nesting pairs",NA,NA
"Hilborn et al. (2017)","Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","esasuccess.org",1999,15670,"nesting pairs",NA,NA
"Hilborn et al. (2017)","Dolphinfish Gulf of Mexico [cpue (standardized)]","Kleisner 2008",1987,0.53,"cpue (standardized)",NA,NA
"Hilborn et al. (2017)","Dolphinfish Gulf of Mexico [cpue (standardized)]","Kleisner 2008",1988,0.6,"cpue (standardized)",NA,NA
